Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
239,Goodwill 24 CHS,250,North,Dhanori,November,Q6,28-Nov-21,neutral,Weekend,nobroker,repeat,2500,4200.0
240,Rahul Park C,100,Central,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,1919.4
241,Royal Rahadki Ph1,500,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,5000,9000.0
242,Rose Valley,300,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,2000,15600.0
243,Majestic aqua,450,East,Phursungi,December,Q6,8-Dec-21,dull,Weekend,nobroker,repeat,2500,2904.6
244,Armada,250,West,Wakad,December,Q6,9-Dec-21,neutral,Weekday,nobroker,repeat,2500,4459.2
251,Shivnagri,200,Central,Kothrud,December,Q6,14-Dec-21,excited,Weekend,nobroker,repeat,1500,7719.6
252,Sarita Vihar,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,3623.4
253,Suvarna Rekha Shree,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,2837.4
255,Shweta Soc,100,Central,Sinhagad road,December,Q6,17-Dec-21,,Weekday,self,repeat,0,7200.0
260,Parth Enclave,200,Central,Karvenagar,December,Q6,19-December,,Weekend,,repeat,0,6492.0
261,Rose County,380,West,Pimple Saudagar,December,Q6,21-December,,Weekend,,repeat,2500,6505.2
262,Megapolis Symphony,380,West,Hinjewadi,December,Q6,22-December,,Weekday,,repeat,2500,2280.0
263,SHONEST,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,2000,3900.0
264,SILVER SKY,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,3000,13500.0
265,Life Republic- R7,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,4000,4800.0
266,Life Republic- R4,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,5000,5400.0
267,Rohan Mithila- E1-E9,200,North,Vimannagar,December,Q6,25-December,,Weekday,,repeat,0,6026.4
268,Rohan Mithila-A-Y,200,North,Vimannagar,December,Q6,25-December,,Weekend,,repeat,1000,972.6
269,Alcon Renaissant,200,North,Kharadi,December,Q6,25-December,,Weekend,,repeat,1000,7801.2
270,Nyati Empire,400,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,3000,10810.2
274,Konark Nagar,300,North,Vimannagar,December,Q6,29-December,,Weekday,,repeat,5000,4800.0
275,Ganga Constella,400,North,Kharadi,December,Q6,29-December,,Weekday,,repeat,5000,4800.0
276,Eden Garden,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,3000,2866.2
277,Ganga Nebula,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,2000,3600.0
279,Opus 77,200,West,Wakad,JANUARY,Q7,4-January,,Weekend,,repeat,2000,6624.6
280,Malpani green,200,West,Wakad,JANUARY,Q7,4-January,,Weekday,,repeat,1500,6712.2
281,Loksangam,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,2000,1800.0
282,Shanti Niketan,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,3000,1626.0
284,Skyline,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,2000,6000.0
285,Windwards,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,3000,5540.4
286,Mont vert tropez,300,West,Wakad,JANUARY,Q7,8-January,,Weekday,,repeat,1500,6000.0
287,Sonigara Kesar,300,West,Wakad,JANUARY,Q7,8-January,,Weekend,,repeat,3000,9000.0
288,Kunal Icon,400,West,Pimple Saudagar,JANUARY,Q7,9-January,,Weekend,,repeat,4130,12000.0
291,Regalia Bavdhan,165,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,500,2292.0
297,Valle Vista,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,3930.0
301,Viola,250,Central,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,500,6000.0
302,Vallonia,200,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0,3480.0
