Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
54,DSK Raanwara,500,West,Bavdhan,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1000,4200
55,Puraniks Abitante,500,West,Bavdhan,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1500,6000
52,Mont Vert,200,West,Wakad,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1000,4200
53,Kumar Picadilly,300,West,Wakad,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,0,5095.8
56,DSK Vishwa,1000,Central,Sinhagad road,December,Q2,26-Dec-20,excited,WEEKEND,Self,repeat,0,7800
57,Vitthal Heritage,250,South,Ambegaon,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,500,8400
58,Amanora,1000,East,Hadapsar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,1000,4200
59,9 Green Park,120,Central,Sahakarnagar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,0,2745.6
61,Rohan Garima,190,Central,SB road,January,Q3,2-Jan-21,excited,WEEKEND,Self,repeat,500,6323.4
60,Suyog nagar,200,Central,SB road,January,Q3,2-Jan-21,excited,WEEKEND,Self,repeat,0,4485.6
62,Sky lounge ,290,East,Kalyaninagar,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,7902
63,Veeroday society ,100,North,Kharadi,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,4995
64,Ruturang soc,250,Central,Kothrud,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,5374.2
65,Aditya Comfort Zon,550,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,0,18283.8
66,Supreme palms,250,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,11716.2
67,Iris,200,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,7920
70,Marvel Zephyr,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,7800
71,Kumar Primrose,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,3000
68,Rohan Mithila Upper parijat,200,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,0,3600
69,Rohan mithila A-Y,350,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,5400
73,Lake Vista,650,South,Ambegaon,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,2000,9962.4
74,Pinnac Anand ,150,West,Karvenagar,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,8565
72,Kumar parisar,200,Central,Kothrud,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,3300
75,Antelia ,150,West,Bavdhan,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,0,6057.6
77,Sicilia,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1500,8004
78,Yellow blossoms ,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1000,3120
76,Raheja woods,250,East,Kalyaninagar,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,0,7920
79,Vallonia,200,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0,3480
80,Nutan Dasnurkar,1,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0,2100
81,ADitya garden city,1015,West,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,2000,13200
82,Atul Park Ph1,300,West,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,500,2427.6
84,Amanora,1000,East,Hadapsar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,500,4140
83,Kumar Kruti,400,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,1770,18000
85,Landmark Greens,200,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,0,4920
86,Kunal Aspiree,200,West,Balewadi,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,9720
87,Mont vert biaritz phase 1,88,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,7920
89,Gera Empress,200,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,5100
88,Sukhwani Sepia,200,West,Wakad,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,6000
94,Astonia,475,South,Ambegaon,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,1000,12319.2
90,Springfield,250,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,11400
91,Sigma One,138,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4740
92,Om avishkar(Sneh paradise),150,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,7200
93,Hill View,350,West,Warje,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4800
95,Pristine Fontana,175,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0,18000
96,Regalia Bavdhan,165,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,500,2292
97,Ishan Srushti,200,West,Warje,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0,3436.2
98,Ishan Sanskruti,200,West,Warje,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0,9300
100,Sundar sahawas,150,South,Dhayari,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,1939.2
102,Rajyog phase 2,100,South,Dhayari,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,686.4
99,Sundar Sahwas Ph2,200,Central,Sinhagad road,February,Q3,14-Feb-21,dull,WEEKEND,Self,repeat,0,1939.2
103,Sun Universe ,750,Central,Sinhagad road,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,1500,6723.6
100,Amrutwel,100,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,2853.6
101,Rahul Park C,100,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,1919.4
102,Rahul Park A wing,87,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,500,1800
103,AMrutwel,150,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,2853.6
104,saudamini,150,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,1000,2170.2
105,Mahadkar residency ,200,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,500,4165.8
106,Westend village ,200,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,4924.8
108,House of Aadya,1,Central,Deccan ,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,728.4
107,Saarthi Sinclair,150,West,Warje,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,4890
109,RamyaNagri,430,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,1000,5160
110,Suyog Aditya,96,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,0,5529
111,Soba Savera,150,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,500,3775.8
113,Sai Mystique,325,South,Ambegaon,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,500,8400
112,Sun Paradise,175,Central,Sinhagad road,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,0,6000
116,Vaatsalyapuram-Kumre,200,Central,Kothrud,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,0,3634.2
114,ADitya garden city,1012,West,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,2000,6000
115,Viola,250,West,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,500,6000
117,Bhosalenagar,300,Central,Bhosalenagar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,0,4830
119,Amanora,1000,East,Hadapsar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,1000,8520
118,Konark Krish,150,East,Keshavnagar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,0,3031.8
120,Rohan leher,300,West,Baner,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0,10380
121,Anant Shilp,100,West,Bavdhan,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0,8520
122,Anant Vaibhav ,100,West,Bavdhan,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0,5281.2
123,Alcon Renaissant ,200,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,7320
124,Marvel citine,200,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,2977.2
125,Nyati empire,300,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,10132.2
126,Ganga archadia,150,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,5206.8
127,Shivtara society,200,Central,Kothrud,March,Q3,20-Mar-21,excited,WEEKEND,SPF,repeat,3000,12465
128,Rakshak nagar 1,400,North,Kharadi,March,Q3,21-Mar-21,dull,WEEKEND,SPF,repeat,0,426
129,Rakshak nagar 2,400,North,Kharadi,March,Q3,21-Mar-21,dull,WEEKEND,SPF,repeat,0,4908.6
130,Ajantha Avenue,400,Central,Kothrud,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,2900,11496.6
131,Lakshmi deep,228,West,Wakad,March,Q3,27-Mar-21,dull,WEEKEND,mygate,repeat,3800,1359
132,Kalpataru Splendour,327,West,Wakad,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,3800,18814.8
133,Antelia ,200,West,Bavdhan,March,Q3,28-Mar-21,excited,WEEKEND,Self,repeat,0,4069.2
134,Millenium Acropolis,181,West,Wakad,March,Q3,28-Mar-21,excited,WEEKEND,mygate,repeat,2500,3840
136,Uday HillTop,225,West,Ravet,June,Q4,24-Jun-21,excited,weekday,Self,repeat,0,17280
137,Westend Village,200,Central,Bhusari colony,June,Q4,25-Jun-21,normal,weekday,Self,repeat,750,3803.4
138,The Cliff Garden,600,West,Hinjewadi,July,Q5,3-Jul-21,excited,Weekend,Nobroker,repeat,1500,10002.6
139,ARV Royale,200,East,Hadapsar,July,Q5,10-Jul-21,dull,Weekend,Nobroker,repeat,1500,3360
140,Ivory Estate,500,West,Baner,July,Q5,11-Jul-21,excited,Weekday,Self,repeat,0,3000
141,Peace Valley,280,West,Pimple Saudagar,July,Q5,17-Jul-21,normal,Weekend,MYGATE,repeat,5000,10020
143,Perfect 10,280,West,Balewadi,July,Q5,18-Jul-21,dull,Weekend,MYGATE,repeat,5000,6000
142,Life Montage,400,West,Sus,July,Q5,18-Jul-21,excited,Weekend,MYGATE,repeat,5000,13200
144,Rohan Mithila,200,North,Vimanagar,July,Q5,25-Jul-21,excited,Weekend,self,repeat,0,13500
150,Anveshak Tech (Sandeep Tonapi),0,Central,Sinhagad road,July,Q5,26-Jul-21,,Weekend,Self,repeat,0,4320
146,DSK Gandhkosh,280,West,Baner,July,Q5,31-Jul-21,normal,Weekend,Nobroker,repeat,2500,5854.2
145,Park Ivory,450,West,Wakad,July,Q5,31-Jul-21,excited,,MYGATE,repeat,5000,10108.2
149,Landmark Gardens,200,East,Kalyaninagar,August,Q5,1-Aug-21,normal,Weekend,Self,repeat,0,3420
147,Mountain Glory,300,North,Kharadi,August,Q5,1-Aug-21,dull,Weekend,SPF,repeat,0,2100
148,Marvel Cerise,300,North,Kharadi,August,Q5,1-Aug-21,excited,Weekend,SPF,repeat,0,5580
151,Atul Nagar,200,West,Warje,August,Q5,5-Aug-21,excited,weekday,Self,repeat,0,2996.4
152,Astonia Royale,500,South,Ambegaon,August,Q5,6-Aug-21,excited,Weekday,Self,repeat,1000,4620
154,Blue Bells AUra,120,West,Baner,August,Q5,7-Aug-21,dull,Weekday,Nobroker,repeat,1000,2756.4
155,Felicitia,130,West,Baner,August,Q5,7-Aug-21,dull,Weekend,Nobroker,repeat,1000,2996.4
153,Windows,320,West,Sus,August,Q5,7-Aug-21,DULL,Weekend,MYGATE,repeat,5000,7329
156,Anshul Kanvas,150,North,Wagholi,August,Q5,8-Aug-21,dull,Weekend,Nobroker,repeat,2500,3096
157,Oxy Ultima,200,North,Wagholi,August,Q5,8-Aug-21,excited,Weekend,Nobroker,repeat,2000,7680
158,Ivory Estate,300,West,Baner,August,Q5,11-Aug-21,neutral,Weekend,Self,repeat,0,1200
159,Sigma One,130,Central,Kothrud,August,Q5,12-Aug-21,excited,Weekday,Self,repeat,0,5368.2
160,Pristine Fontana,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,11964
161,Ambience Antelia,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,6141
162,Valle Vista,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,3930
163,Blue Ridge,800,West,Hinjewadi,August,Q5,14-Aug-21,excited,Weekday,Nobroker,repeat,2000,17367
164,The Crown Greens,190,West,Hinjewadi,August,Q5,14-Aug-21,dull,Weekend,MYGATE,repeat,5000,3937.2
165,Forest County,800,North,Kharadi,August,Q5,15-Aug-21,excited,Weekend,SPF,repeat,2000,12088.2
167,Kumar Primavera,500,North,Kharadi,August,Q5,15-Aug-21,excited,Weekend,SPF,repeat,0,4054.2
166,Indradhanu Apartments,200,Central,Kothrud,August,Q5,15-Aug-21,excited,Weekend,Nobroker,repeat,1000,5648.4
168,Sun Universe,750,Central,Sinhagad road,August,Q5,20-Aug-21,excited,Weekend,Self,repeat,1500,10330.8
169,Sun City,300,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,500,4375.8
170,Sudatta Sankul,200,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,600,3708
172,Pinnac Anand,150,West,Karvenagar,August,Q5,21-Aug-21,excited,weekday,Self,repeat,0,7608
171,Little Millenium School,0,North,Vimanagar,August,Q5,21-Aug-21,dull,Weekend,Self,repeat,0,498
173,Rahul Nagar,300,Central,Kothrud,August,Q5,22-Aug-21,neutral,Weekend,Self,repeat,0,3468
174,Meenaxipuram,200,Central,Sinhagad road,August,Q5,22-Aug-21,excited,Weekend,Self,repeat,0,5640
175,Sicilia,250,East,Ghorpadi,August,Q5,26-Aug-21,neutral,Weekend,Self,repeat,100,3541.8
176,Yellow Blosson,250,East,Ghorpadi,August,Q5,26-Aug-21,neutral,weekday,Self,repeat,500,1752
177,Mont Vert Seville,500,West,Wakad,August,Q5,27-Aug-21,excited,weekday,self,repeat,1000,4063.8
178,Vardhaman Residency,250,West,Wakad,August,Q5,27-Aug-21,dull,weekday,Nobroker,repeat,1000,2734.8
179,Western Avenue,600,West,Hinjewadi,August,Q5,28-Aug-21,dull,weekday,MYGATE,repeat,5000,5256
180,Life Republic 7,850,West,Hinjewadi,August,Q5,28-Aug-21,excited,Weekend,self,repeat,5000,18600
182,Kumar Kruti,500,East,Kalyaninagar,August,Q5,29-Aug-21,excited,Weekend,self,repeat,2000,7800
181,Sneh Paradise,250,Central,Kothrud,August,Q5,29-Aug-21,excited,Weekend,self,repeat,0,10200
183,Sarita Vaibhav,300,Central,Sinhagad road,August,Q5,31-Aug-21,excited,Weekend,self,repeat,0,6000
184,Swarnavilas,45,West,Baner,September,Q5,1-Sep-21,,weekday,nobroker,repeat,500,3600
185,Aureate,120,West,Pimple Saudagar,September,Q5,3-Sep-21,excited,Weekday,nobroker,repeat,1500,4800
186,Shivam Society,160,West,Pimple Saudagar,September,Q5,3-Sep-21,excited,Weekday,Self,repeat,0,8400
187,Aditya Garden Society,1200,West,Warje,September,Q5,4-Sep-21,excited,Weekday,Self,repeat,1000,12000
188,Ajinkyatara,350,South, Narhe,September,Q5,5-Sep-21,excited,Weekend,nobroker,repeat,1500,8408.4
189,Viola,250,West,Warje,September,Q5,10-Sep-21,excited,Weekend,Janhavi,repeat,0,2925
191,Somani Residency,250,West,Punawle,September,Q5,11-Sep-21,dull,Weekday,nobroker,repeat,1500,1500
190,Palash Housing Society,250,West,Wakad,September,Q5,11-Sep-21,excited,Weekend,Self,repeat,0,7372.2
192,River Residency,1300,North,Moshi,September,Q5,12-Sep-21,excited,Weekend,nobroker,repeat,5000,14476.8
194,sun paradise,200,Central,Sinhagad road,September,Q5,15-Sep-21,dull,Weekend,self,repeat,0,1909.2
193,Atul Nagar,300,West,Warje,September,Q5,15-Sep-21,dull,Weekday,self,repeat,500,1382.4
195,jardin,250,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,700,6229.8
196,beverly hills,250,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,1500,3226.8
197,Aeropolis,330,North,Dhanori,September,Q5,17-Sep-21,excited,Weekday,nobroker,repeat,1500,5719.2
198,Atria Soc,330,North,Dhanori,September,Q5,17-Sep-21,dull,Weekday,nobroker,repeat,1500,2340
199,Life Republic 3,700,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekday,self,repeat,5000,12286.2
200,Life Republic 4,700,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekend,self,repeat,5000,14869.8
201,Hallmark Soc,300,West,Ravet,September,Q5,21-Sep-21,neutral,Weekend,nobroker,repeat,600,2883
202,Goodwill Soc,250,West,Ravet,September,Q5,21-Sep-21,neutral,Weekday,nobroker,repeat,600,2580
204,Gera Trinity Tower,250,North,Kharadi,September,Q5,25-Sep-21,neutral,Weekday,SPF,repeat,0,2736
203,Ivy Estate,800,North,Wagholi,September,Q5,25-Sep-21,excited,Weekend,nobroker,repeat,1500,17400
205,Roseland residency,900,West,Pimple Saudagar,September,Q5,26-Sep-21,excited,Weekend,self,repeat,2000,13308
206,Rose Icon,1000,West,Pimple Saudagar,September,Q5,26-Sep-21,excited,Weekend,MYGATE,repeat,5000,8094
207,Aditya Garden Society,1200,West,Warje,October,Q6,2-Oct-21,excited,Weekend,self,repeat,1000,9394.2
208,SUYOG Aura,200,West,Warje,October,Q6,2-Oct-21,neutral,Weekend,self,repeat,0,2955
209,Tejowalay,300,West,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1000,3083.4
210,Oval Nest,300,West,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1500,1956
211,The Cliff Garden,600,West,Hinjewadi,October,Q6,9-Oct-21,dull,Weekend,nobroker,repeat,1000,727.2
212,Tinsel County,300,West,Hinjewadi,October,Q6,9-Oct-21,dull,Weekend,nobroker,repeat,1000,3117.6
213,Aishwaryam hamara,1100,North,Moshi,October,Q6,10-Oct-21,dull,Weekend,nobroker,repeat,4500,4376.4
214,High Mont,450,West,Hinjewadi,October,Q6,13-Oct-21,neutral,Weekend,MYGATE,repeat,5000,7254
215,Springfield ,200,Central,Kothrud,October,Q6,15-Oct-21,excited,Weekday,self,repeat,0,6600
216,Ruturang,200,Central,Kothrud,October,Q6,15-Oct-21,excited,Holiday,self,repeat,0,12805.8
217,Shiv Sai Paradise,375,Thane,Thane,October,Q6,16-Oct-21,excited,Holiday,Self,repeat,3000,34906.8
218,Hiranandani Meadows-Mayflower,300,Thane,Thane,October,Q6,17-Oct-21,neutral,Weekend,Self,repeat,4000,11945.4
219,Chaurang Terrace,100,East,Phursungi,October,Q6,19-Oct-21,dull,Weekend,nobroker,repeat,1000,2259
220,Green County,100,East,Phursungi,October,Q6,19-Oct-21,excited,Weekday,nobroker,repeat,1000,5205
221,Sancheti Belcastle,100,East,Mundhwa,October,Q6,20-Oct-21,excited,Weekday,Self,repeat,1500,4620
222,PGD Pinnacle,100,East,Mundhwa,October,Q6,20-Oct-21,neutral,Weekday,Self,repeat,1000,1122
223,Rajveer Palace,200,West,Pimple Saudagar,October,Q6,21-Oct-21,excited,Weekday,Self,repeat,0,10964.4
224,S3 Lifestyle apartment,200,West,Pimple Saudagar,October,Q6,21-Oct-21,neutral,Weekday,Self,repeat,0,2601
225,Capitol Towers,200,West,Wakad,October,Q6,22-Oct-21,dull,Weekday,,repeat,500,1266
226,Amanora,1000,East,Hadapsar,October,Q6,23-Oct-21,excited,Weekday,Self,repeat,5900,20317.8
227,Megapolis-Sunway,1100,West,Hinjewadi,October,Q6,24-Oct-21,Neutral,Weekend,Self,repeat,5000,7764
228,Megapolis-Sparklet,1100,West,Hinjewadi,October,Q6,24-Oct-21,Dull,Weekend,Self,repeat,5000,5163.6
229,Relicon Garden Grove,300,South,Ambegaon,October,Q6,26-Oct-21,excited,Weekend,Self,repeat,0,6794.4
230,Vitthal Heritage,200,South,Ambegaon,October,Q6,26-Oct-21,dull,Weekday,Self,repeat,500,3015.6
231,Sai residency,120,North,Lohegao,October,Q6,27-Oct-21,dull,Weekday,nobroker,repeat,600,2905.2
232,Anant Shilp,200,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,0,7884
233,TinselTown,200,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,500,7628.4
234,Comfort Zone,500,West,Baner,October,Q6,29-Oct-21,neutral,Weekday,Self,repeat,0,6124.8
235,Iris,108,West,Baner,October,Q6,29-Oct-21,dull,Weekday,Self,repeat,1500,3390
236,Blue Ridge-C tower,650,West,Hinjewadi,October,Q6,30-Oct-21,neutral,Weekday,Nobroker,repeat,3500,4993.8
237,KUL Echoluch,700,West,Hinjewadi,October,Q6,30-Oct-21,dull,Weekend,mygate,repeat,5000,2058
