Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
1,Rohan Leher 2,181,West,Baner,August,Q1,1-Aug-20,excited,WEEKEND,Self,repeat,0,7501.8
2,Shriram Soc,200,West,Warje,August,Q1,2-Aug-20,excited,WEEKEND,Self,repeat,0,9000
3,Yogiraj Foundation,200,West,Talegao,August,Q1,9-Aug-20,excited,WEEKEND,Self,repeat,0,9600
4,Yashashree Soc,50,Central,Bhusari colony,August,Q1,15-Aug-20,excited,WEEKEND,Self,repeat,0,4998.6
5,Aditya Garden City,1014,West,Warje,August,Q1,23-Aug-20,excited,WEEKEND,Self,repeat,1000,100
6,"ICS, revenue colony",200,Central,Bhosalenagar,August,Q1,30-Aug-20,excited,WEEKEND,Self,repeat,0,14011.8
7,Himali Soc,300,Central,Kothrud,September,Q1,1-Sep-20,excited,WEEKEND,Self,repeat,500,9055.8
8,Shantikunj Soc,100,Central,Camp,September,Q1,5-Sep-20,excited,WEEKEND,Self,repeat,0,216
9,Shriram Soc,200,West,Warje,September,Q1,6-Sep-20,excited,WEEKEND,Self,repeat,0,3994.8
10,Ruturang soc,260,Central,Kothrud,September,Q1,12-Sep-20,excited,WEEKEND,Self,repeat,0,27600
11,Mahatma Soc,300,Central,Kothrud,September,Q1,13-Sep-20,excited,WEEKEND,Self,repeat,500,7800
12,Sigma One,132,Central,Kothrud,September,Q1,19-Sep-20,excited,WEEKEND,Self,repeat,0,34539
13,Forest trails,250,West,Bhugaon,September,Q1,20-Sep-20,excited,WEEKEND,Self,repeat,500,15000
14,"Rohan leher 1,2, alacrity",300,West,Baner,September,Q1,26-Sep-20,excited,WEEKEND,Self,repeat,0,12600
15,Aditya Garden City,1014,West,Warje,September,Q1,27-Sep-20,excited,WEEKEND,Self,repeat,2000,28800
16,JK Hills,250,South,Dhayari,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0,12000
17,9 green park,120,Central,Sahakarnagar,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0,9000
18,Bhosalenagar,200,Central,Bhosalenagar,October,Q2,3-Oct-20,excited,WEEKEND,Self,repeat,0,9000
19,Mont Vert,400,West,Wakad,October,Q2,4-Oct-20,excited,WEEKEND,Self,repeat,1000,18000
20,Kumar Picadilly,250,West,Wakad,October,Q2,11-Oct-20,excited,WEEKEND,Self,repeat,0,19200
21,Dreams estate,300,East,Hadapsar,October,Q2,17-Oct-20,excited,WEEKEND,Self,repeat,0,1200
22,saudamini,200,Central,Bhusari colony,October,Q2,18-Oct-20,excited,WEEKEND,Self,repeat,500,7800
23,Amanora,1500,East,Hadapsar,October,Q2,24-Oct-20,excited,WEEKEND,Self,repeat,1000,14285.4
24,Aditya Garden City,1014,West,Warje,October,Q2,31-Oct-20,excited,WEEKEND,Self,repeat,2000,21600
25,DSK Vishwa,700,South,Dhayari,November,Q2,1-Nov-20,excited,WEEKEND,Self,repeat,0,22800
26,Puraniks Abitante,450,West,Bavdhan,November,Q2,7-Nov-20,excited,WEEKEND,Self,repeat,1000,14547.6
27,Sai park,150,South,Katraj,November,Q2,7-Nov-20,excited,WEEKEND,Self,repeat,500,5604.6
28,Sigma One,132,Central,Kothrud,November,Q2,8-Nov-20,excited,WEEKEND,Self,repeat,0,11793.6
29,Sun Empire,450,Central,Sinhagad road,November,Q2,13-Nov-20,excited,WEEKEND,Self,repeat,500,15469.2
30,Ruturang soc,260,Central,Kothrud,November,Q2,14-Nov-20,excited,WEEKEND,Self,repeat,0,15741.6
31,Sudarshan ,84,West,Karvenagar,November,Q2,15-Nov-20,excited,WEEKEND,Self,repeat,0,6094.2
32,Sun City,400,Central,Sinhagad road,November,Q2,21-Nov-20,excited,WEEKEND,Self,repeat,500,10183.2
34,Mahadkar residency ,150,Central,Bhusari colony,November,Q2,22-Nov-20,excited,WEEKEND,Self,repeat,500,5430
33,Rohan Mithila,300,North,Vimanagar,November,Q2,22-Nov-20,excited,WEEKEND,Self,repeat,0,14551.8
36,Westend village ,200,Central,Bhusari colony,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0,12600
37,Sun Universe ,750,Central,Sinhagad road,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,500,24600
35,Ishan srushti,150,West,Warje,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0,18000
38,Tinseltown ,150,West,Bavdhan,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,0,12000
39,Valle vista,120,West,Bavdhan,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,0,10605.6
40,Sudatta sankul,180,Central,Sinhagad road,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,500,6600
41,Suvarna Park,150,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0,12000
42,Vaidehi Enclave,70,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0,7800
43,Colori,250,South,Undri,December,Q2,12-Dec-20,excited,WEEKEND,Self,repeat,1000,6624.6
44,38 Majestique,100,South,Undri,December,Q2,12-Dec-20,excited,WEEKEND,Self,repeat,500,3322.2
46,Relicon Garden Grove,250,South,Ambegaon,December,Q2,13-Dec-20,excited,WEEKEND,Self,repeat,0,14213.4
45,Meenaxipuram,250,Central,Sinhagad road,December,Q2,13-Dec-20,excited,WEEKEND,Self,repeat,500,13070.4
49,Windsor COunty,200,South,Ambegaon,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,0,5484
47,ADitya garden city,1012,West,Warje,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,2000,21886.2
48,Rahul Nisarg,350,West,Warje,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,500,8400
50,Kasturkunj,250,Central,Bhosalenagar,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0,9519
51,Swara nagri,250,Central,Sinhagad road,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0,6960
