Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
03-25-2022,Tirupati Campus,Nyati Environ,tingrenagar,North,4,"('Medium', 'Medium')","('200', '200')"
03-26-2022,Forest County,,kharadi,North,4,"('Medium', None)","('800', None)"
03-27-2022,River Residency,Aishwaryam hamara,moshi,North,4,"('Angel', 'Angel')","('1300', '1100')"
04-26-2022,Kumar Primrose,Alcon Renaissant ,kharadi,North,9,"('Medium', 'Medium')","('200', '200')"
04-27-2022,Rohan mithila A-Y,Little Millenium School,vimanagar,North,9,"('Medium', 'Worst')","('350', '0')"
04-28-2022,Aeropolis,Pride Aashiyana,dhanori,North,9,"('Medium', 'Medium')","('330', '450')"
04-29-2022,Marvel citine,Nyati empire,kharadi,North,9,"('Medium', 'Medium')","('200', '300')"
04-30-2022,River Residency,Aishwaryam hamara,moshi,North,9,"('Angel', 'Angel')","('1300', '1100')"
05-01-2022,Ivy Estate,umang premier,wagholi,North,9,"('Medium', 'Worst')","('800', '800')"
05-31-2022,Ganga archadia,Rakshak nagar 1,kharadi,North,14,"('Medium', 'Worst')","('150', '400')"
06-01-2022,Rakshak nagar 2,Mountain Glory,kharadi,North,14,"('Medium', 'Worst')","('400', '300')"
06-02-2022,River Residency phase 3 ,Krystal City,moshi,North,14,"('Medium', 'Medium')","('466', '300')"
06-03-2022,Goodwill 24 CHS,Atria Soc,dhanori,North,14,"('Medium', 'Worst')","('250', '330')"
06-04-2022,Ivy Estate,umang premier,wagholi,North,14,"('Medium', 'Worst')","('800', '800')"
06-05-2022,Forest County,,kharadi,North,14,"('Medium', None)","('800', None)"
03-29-2022,Yashashree Soc,saudamini,bhusari colony,Central,5,"('Medium', 'Medium')","('50', '200')"
03-30-2022,9 green park,Ruturang-Aranyeshwar,sahakarnagar,Central,5,"('Medium', 'Medium')","('120', '150')"
03-31-2022,Sun Empire,Sun City,sinhagad road,Central,5,"('Medium', 'Medium')","('450', '400')"
04-01-2022,Himali Soc,Ruturang soc,kothrud,Central,5,"('Medium', 'Medium')","('300', '260')"
04-02-2022,Mahatma Soc,Sigma One,kothrud,Central,5,"('Medium', 'Medium')","('300', '132')"
04-03-2022,Aditya Garden City,,warje,Central,5,"('Angel', None)","('1014', None)"
05-03-2022,Kumar parisar,Springfield,kothrud,Central,10,"('Medium', 'Medium')","('200', '250')"
05-04-2022,Mahadkar residency ,Westend village ,bhusari colony,Central,10,"('Medium', 'Medium')","('150', '200')"
05-05-2022,Parth Enclave,Sudarshan ,karvenagar,Central,10,"('Medium', 'Medium')","('200', '84')"
05-06-2022,Amrutwel,Hill View,warje,Central,10,"('Medium', 'Medium')","('150', '350')"
05-07-2022,Aditya Garden City,,warje,Central,10,"('Angel', None)","('1014', None)"
05-08-2022,COEP,,shivajinagar,Central,10,"('Angel', None)","('1000', None)"
06-07-2022,"ICS, revenue colony",Bhosalenagar,bhosalenagar,Central,15,"('Medium', 'Medium')","('200', '200')"
06-08-2022,Shantikunj Soc,,camp,Central,15,"('Worst', None)","('100', None)"
06-09-2022,Sun Universe ,Sudatta sankul,sinhagad road,Central,15,"('Medium', 'Medium')","('750', '180')"
06-10-2022,Ishan Srushti,Karan Palms+Greens,warje,Central,15,"('Medium', 'Medium')","('200', '300')"
06-11-2022,Aditya Garden City,,warje,Central,15,"('Angel', None)","('1014', None)"
06-12-2022,COEP,,shivajinagar,Central,15,"('Angel', None)","('1000', None)"
To be decided,Society,Society,Area,City ZOne,To be decided,,No of flats
To be decided,Rohan Leher 2,Rohan Leher 2,Baner,West,To be decided,Medium,181
To be decided,Aditya Garden City,Aditya Garden City,Warje,Central,To be decided,Angel,1014
To be decided,Yogiraj Foundation,Yogiraj Foundation,Talegao,West,To be decided,Medium,200
To be decided,Yashashree Soc,Yashashree Soc,Bhusari colony,Central,To be decided,Medium,50
To be decided,"ICS, revenue colony","ICS, revenue colony",Bhosalenagar,Central,To be decided,Medium,200
To be decided,Himali Soc,Himali Soc,Kothrud,Central,To be decided,Medium,300
To be decided,Shantikunj Soc,Shantikunj Soc,Camp,Central,To be decided,Worst,100
To be decided,Ruturang soc,Ruturang soc,Kothrud,Central,To be decided,Medium,260
