Date,Society 1,Society 2,Area,Zone,Week Number,Standard
05-01-2022,River Residency,Aishwaryam hamara,moshi,north,9,"('Angel', 'Angel')"
05-31-2022,Anshul Kanvas,Oxy Ultima,wagholi,north,14,"('Medium', 'Medium')"
06-01-2022,Kumar Primavera,Gera Trinity Tower,kharadi,north,14,"('Medium', 'Medium')"
06-02-2022,Ganga Constella,Mountain Glory,kharadi,north,14,"('Medium', 'Worst')"
06-03-2022,Marvel Cerise,Forest County,kharadi,north,14,"('Medium', 'Medium')"
06-04-2022,River Residency,Aishwaryam hamara,moshi,north,14,"('Angel', 'Angel')"
06-05-2022,Little Millenium School,Aeropolis,vimanagar,north,14,"('Worst', 'Medium')"
03-29-2022,Yashashree Soc,saudamini,bhusari colony,central,5,"('Medium', 'Medium')"
03-30-2022,Mahadkar residency ,Westend village ,bhusari colony,central,5,"('Medium', 'Medium')"
03-31-2022,Parth Enclave,Sudarshan ,karvenagar,west,5,"('Medium', 'Medium')"
04-01-2022,"ICS, revenue colony",Himali Soc,bhosalenagar,central,5,"('Medium', 'Medium')"
04-02-2022,Aditya Garden City,,warje,central,5,"('Angel', None)"
04-03-2022,COEP,,shivajinagar,central,5,"('Angel', None)"
05-03-2022,Ishan Srushti,Karan Palms+Greens,warje,central,10,"('Medium', 'Medium')"
05-04-2022,Rahul Nisarg,Saarthi Sinclair,warje,central,10,"('Medium', 'Medium')"
05-05-2022,Sarthi Sinclair,Shriram Soc,warje,central,10,"('Medium', 'Medium')"
05-06-2022,Sun Empire,Sun City,sinhagad road,central,10,"('Medium', 'Medium')"
05-07-2022,Amrutwel,Hill View,warje,central,10,"('Medium', 'Medium')"
05-08-2022,COEP,,shivajinagar,central,10,"('Angel', None)"
06-07-2022,SUYOG Aura,Tejowalay,warje,central,15,"('Medium', 'Medium')"
06-08-2022,Meenaxipuram,Swara nagri,sinhagad road,central,15,"('Medium', 'Medium')"
06-09-2022,Sun Universe ,Sudatta sankul,sinhagad road,central,15,"('Medium', 'Medium')"
06-10-2022,Sun Paradise,Anveshak Tech (Sandeep Tonapi),sinhagad road,central,15,"('Medium', 'Medium')"
06-11-2022,Rohan Garima,Suyog nagar,sb road,central,15,"('Medium', 'Medium')"
06-12-2022,COEP,,shivajinagar,central,15,"('Angel', None)"
To be decided,Society,Society,Area,City ZOne,To be decided,
To be decided,Shantikunj Soc,Shantikunj Soc,Camp,Central,To be decided,Worst
To be decided,Ruturang soc,Ruturang soc,Kothrud,Central,To be decided,Medium
To be decided,Mahatma Soc,Mahatma Soc,Kothrud,Central,To be decided,Medium
To be decided,Sigma One,Sigma One,Kothrud,Central,To be decided,Medium
To be decided,9 green park,9 green park,Sahakarnagar,Central,To be decided,Medium
To be decided,Bhosalenagar,Bhosalenagar,Bhosalenagar,Central,To be decided,Medium
To be decided,Ambience Antelia,Ambience Antelia,Bavdhan,West,To be decided,Medium
To be decided,Sigma One,Sigma One,Kothrud,Central,To be decided,Medium
To be decided,Ruturang soc,Ruturang soc,Kothrud,Central,To be decided,Medium
To be decided,Anant Shilp,Anant Shilp,Bavdhan,West,To be decided,Medium
To be decided,Kasturkunj,Kasturkunj,Bhosalenagar,Central,To be decided,Medium
To be decided,9 Green Park,9 Green Park,Sahakarnagar,Central,To be decided,Medium
To be decided,Ruturang soc,Ruturang soc,Kothrud,Central,To be decided,Medium
To be decided,Pinnac Anand ,Pinnac Anand ,Karvenagar,West,To be decided,Medium
To be decided,Kumar parisar,Kumar parisar,Kothrud,Central,To be decided,Medium
To be decided,Kunal Aspiree,Kunal Aspiree,Balewadi,West,To be decided,Medium
To be decided,Gera Empress,Gera Empress,Baner,West,To be decided,Medium
To be decided,Springfield,Springfield,Kothrud,Central,To be decided,Medium
To be decided,Sigma One,Sigma One,Kothrud,Central,To be decided,Medium
To be decided,Om avishkar(Sneh paradise),Om avishkar(Sneh paradise),Kothrud,Central,To be decided,Medium
To be decided,Antelia ,Antelia ,Bavdhan,West,To be decided,Medium
To be decided,Sundar Sahwas Ph2,Sundar Sahwas Ph2,Sinhagad road,Central,To be decided,Worst
To be decided,House of Aadya,House of Aadya,Deccan ,Central,To be decided,Worst
To be decided,Atul Nagar,Atul Nagar,Warje,Central,To be decided,Worst
To be decided,RamyaNagri,RamyaNagri,Bibwewadi,Central,To be decided,Medium
To be decided,Suyog Aditya,Suyog Aditya,Bibwewadi,Central,To be decided,Medium
To be decided,Soba Savera,Soba Savera,Bibwewadi,Central,To be decided,Medium
To be decided,Vaatsalyapuram-Kumre,Vaatsalyapuram-Kumre,Kothrud,Central,To be decided,Medium
To be decided,Atul Park Ph1,Atul Park Ph1,Warje,Central,To be decided,Worst
To be decided,Bhosalenagar,Bhosalenagar,Bhosalenagar,Central,To be decided,Medium
To be decided,Rohan leher,Rohan leher,Baner,West,To be decided,Medium
To be decided,Shivtara society,Shivtara society,Kothrud,Central,To be decided,Medium
To be decided,Ajantha Avenue,Ajantha Avenue,Kothrud,Central,To be decided,Medium
To be decided,Lakshmi deep,Lakshmi deep,Wakad,West,To be decided,Worst
To be decided,Westend Village,Westend Village,Bhusari colony,Central,To be decided,Medium
To be decided,Ivory Estate,Ivory Estate,Baner,West,To be decided,Medium
To be decided,Peace Valley,Peace Valley,Pimple Saudagar,West,To be decided,Medium
To be decided,Ivory Estate,Ivory Estate,Baner,West,To be decided,Medium
To be decided,Sigma One,Sigma One,Kothrud,Central,To be decided,Medium
To be decided,Indradhanu Apartments,Indradhanu Apartments,Kothrud,Central,To be decided,Medium
To be decided,Sun Universe,Sun Universe,Sinhagad road,Central,To be decided,Medium
To be decided,Sudatta Sankul,Sudatta Sankul,Sinhagad road,Central,To be decided,Medium
To be decided,Rahul Nagar,Rahul Nagar,Kothrud,Central,To be decided,Medium
To be decided,Sneh Paradise,Sneh Paradise,Kothrud,Central,To be decided,Medium
To be decided,Sarita Vaibhav,Sarita Vaibhav,Sinhagad road,Central,To be decided,Medium
To be decided,Swarnavilas,Swarnavilas,Baner,West,To be decided,Medium
To be decided,Aureate,Aureate,Pimple Saudagar,West,To be decided,Medium
To be decided,Shivam Society,Shivam Society,Pimple Saudagar,West,To be decided,Medium
To be decided,Somani Residency,Somani Residency,Punawle,West,To be decided,Worst
To be decided,sun paradise,sun paradise,Sinhagad road,Central,To be decided,Medium
To be decided,jardin,jardin,Baner,West,To be decided,Medium
To be decided,beverly hills,beverly hills,Baner,West,To be decided,Medium
To be decided,Atria Soc,Atria Soc,Dhanori,North,To be decided,Worst
To be decided,Life Republic 4,Life Republic 4,Hinjewadi,West,To be decided,Medium
To be decided,Ivy Estate,Ivy Estate,Wagholi,North,To be decided,Medium
To be decided,Tinsel County,Tinsel County,Hinjewadi,West,To be decided,Medium
To be decided,High Mont,High Mont,Hinjewadi,West,To be decided,Medium
To be decided,Springfield ,Springfield ,Kothrud,Central,To be decided,Medium
To be decided,Ruturang,Ruturang,Kothrud,Central,To be decided,Medium
To be decided,Shiv Sai Paradise,Shiv Sai Paradise,Thane,Thane,To be decided,
To be decided,Hiranandani Meadows-Mayflower,Hiranandani Meadows-Mayflower,Thane,Thane,To be decided,
To be decided,Rajveer Palace,Rajveer Palace,Pimple Saudagar,West,To be decided,Medium
To be decided,S3 Lifestyle apartment,S3 Lifestyle apartment,Pimple Saudagar,West,To be decided,Medium
To be decided,Capitol Towers,Capitol Towers,Wakad,West,To be decided,Worst
To be decided,Comfort Zone,Comfort Zone,Baner,West,To be decided,Medium
To be decided,Blue Ridge-C tower,Blue Ridge-C tower,Hinjewadi,West,To be decided,Medium
To be decided,KUL Echoluch,KUL Echoluch,Hinjewadi,West,To be decided,Worst
To be decided,Rohit walimbe Online,Rohit walimbe Online,Baner,West,To be decided,Medium
To be decided,Life Republic-R3,Life Republic-R3,Hinjewadi,West,To be decided,Medium
To be decided,Life Republic-R4,Life Republic-R4,Hinjewadi,West,To be decided,Angel
To be decided,Life Republic-R7,Life Republic-R7,Hinjewadi,West,To be decided,Angel
To be decided,IVY Estate,IVY Estate,Wagholi,North,To be decided,Medium
To be decided,umang premier,umang premier,Wagholi,North,To be decided,Worst
To be decided,River Residency phase 3 ,River Residency phase 3 ,Moshi,North,To be decided,Medium
To be decided,Krystal City,Krystal City,Moshi,North,To be decided,Medium
To be decided,Blue Ridge-Unit A,Blue Ridge-Unit A,Hinjewadi,West,To be decided,Angel
To be decided,Karishma Soc,Karishma Soc,Kothrud,Central,To be decided,Medium
To be decided,Gangadham Phase 2,Gangadham Phase 2,Bibwewadi,Central,To be decided,Medium
To be decided,State Bank Nagar-,State Bank Nagar-,Bibwewadi,Central,To be decided,Worst
To be decided,Sun Satellite,Sun Satellite,Sinhagad road,Central,To be decided,Medium
To be decided,Sun Orbit,Sun Orbit,Sinhagad road,Central,To be decided,Medium
To be decided,Ruturang-Aranyeshwar,Ruturang-Aranyeshwar,Sahakarnagar,Central,To be decided,Medium
To be decided,Sun Universe,Sun Universe,Sinhagad road,Central,To be decided,Medium
To be decided,JARVARI,JARVARI,Pimple Saudagar,West,To be decided,Medium
To be decided,PARK ROYALE,PARK ROYALE,Pimple Saudagar,West,To be decided,Medium
To be decided,BIARITZ 1,BIARITZ 1,Baner,West,To be decided,Medium
To be decided,XERBIA,XERBIA,Chakan,North,To be decided,Angel
To be decided,Oval Nest,Oval Nest,Warje,Central,To be decided,Worst
To be decided,Sudatta Sankul,Sudatta Sankul,Sinhagad road,Central,To be decided,Medium
To be decided,Rahul Park A wing,Rahul Park A wing,Warje,Central,To be decided,Worst
To be decided,Vardhamanpura,Vardhamanpura,Bibwewadi,Central,To be decided,Worst
To be decided,Pride Aashiyana,Pride Aashiyana,Dhanori,North,To be decided,Medium
To be decided,Goodwill 24 CHS,Goodwill 24 CHS,Dhanori,North,To be decided,Medium
To be decided,Rahul Park C,Rahul Park C,Warje,Central,To be decided,Worst
To be decided,Royal Rahadki Ph1,Royal Rahadki Ph1,Pimple Saudagar,West,To be decided,Medium
To be decided,Rose Valley,Rose Valley,Pimple Saudagar,West,To be decided,Medium
To be decided,Armada,Armada,Wakad,West,To be decided,Medium
To be decided,Shivnagri,Shivnagri,Kothrud,Central,To be decided,Medium
